"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"CP_Elec_10F_Tecate_TPLC-3R8";2;"CP 10F";;;
2;"P1";"Conn_USB_A_Plain";1;"Conn_USB_A_Plain";;;
3;"U9,U6,U3,U11,U10,U12,U4,U7,U5,U13,U8,U2";"LED_ADDR_Worldsemi_WS2812B";12;"WS2812B";;;
4;"J2";"PinHeader_01x04_P2.54mm_Vertical_THT_D1.4mm";1;"I2C Header";;;
5;"R9,R7,R6,R8";"R_1206";4;"0R";;;
6;"Z1,Z2";"SOD-123";2;"Diode 2.7V";;;
7;"U14";"SOT-223-3_TabPin2";1;"Lin Reg 3.3V 1A";;;
8;"D5";"LED_1206";1;"Full LED";;;
9;"SW3";"Button_Omron_B3SN_6.0x6.0mm";1;"Restart";;;
10;"R1";"R_1206";1;"5.7R";;;
11;"R3,R2";"R_1206";2;"100R";;;
12;"R4";"R_1206";1;"10K R";;;
13;"SW1";"Button_Omron_B3SN_6.0x6.0mm";1;"Start/Stop";;;
14;"Z3";"SOD-123";1;"Diode 4.9V";;;
15;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ATtiny412";;;
16;"J1";"PinHeader_01x03_P2.54mm_Vertical_THT_D1.4mm";1;"UPDI Flash Header";;;
17;"Q1";"SOT-23-3";1;"MOSFET SOT23";;;
18;"D4";"LED_1206";1;"Charging LED";;;
19;"R5";"R_1206";1;"499R";;;
20;"SW2";"Button_Omron_B3SN_6.0x6.0mm";1;"Skip";;;
